Fecha,Cierre,Apertura,Máximo,Mínimo,Vol.,% var.
02/01/2017,20.7352,20.6895,20.7703,20.68,,0.04%
03/01/2017,21.111,20.732,21.1286,20.6715,,1.81%
04/01/2017,21.4347,21.1156,21.6287,21.0176,,1.53%
05/01/2017,21.4247,21.4394,21.6166,21.1166,,-0.05%
06/01/2017,21.229,21.4298,21.479,21.205,,-0.91%
09/01/2017,21.379,21.2525,21.3904,21.1997,,0.71%
10/01/2017,21.804,21.3796,21.8428,21.361,,1.99%
11/01/2017,21.861,21.801,22.034,21.7352,,0.26%
12/01/2017,21.785,21.861,21.9672,21.565,,-0.35%
13/01/2017,21.475,21.79,21.8432,21.475,,-1.42%
16/01/2017,21.735,21.5235,21.745,21.504,,1.21%
17/01/2017,21.504,21.736,21.736,21.468,,-1.06%
18/01/2017,21.929,21.5134,22.0153,21.489,,1.98%
19/01/2017,21.955,21.926,22.0351,21.8405,,0.12%
20/01/2017,21.5945,21.96,22.001,21.524,,-1.64%
23/01/2017,21.393,21.565,21.57,21.2584,,-0.93%
24/01/2017,21.528,21.39,21.5331,21.2415,,0.63%
25/01/2017,21.0765,21.5325,21.5968,20.929,,-2.10%
26/01/2017,21.216,21.0735,21.3595,20.8585,,0.66%
27/01/2017,20.895,21.221,21.3892,20.85,,-1.51%
30/01/2017,20.789,20.8706,20.9285,20.6495,,-0.51%
31/01/2017,20.834,20.777,20.902,20.654,,0.22%
01/02/2017,20.7085,20.834,20.845,20.6535,,-0.60%
02/02/2017,20.5479,20.7075,20.7437,20.425,,-0.78%
03/02/2017,20.3878,20.5553,20.6092,20.2838,,-0.78%
06/02/2017,20.5682,20.3772,20.6573,20.3102,,0.88%
07/02/2017,20.6225,20.5682,20.7475,20.537,,0.26%
08/02/2017,20.481,20.6228,20.6848,20.434,,-0.69%
09/02/2017,20.3495,20.481,20.5397,20.297,,-0.64%
10/02/2017,20.347,20.355,20.42,20.244,,-0.01%
13/02/2017,20.282,20.3295,20.3893,20.2545,,-0.32%
14/02/2017,20.26,20.2758,20.4232,20.196,,-0.11%
15/02/2017,20.278,20.257,20.4531,20.227,,0.09%
16/02/2017,20.3835,20.275,20.4167,20.242,,0.52%
17/02/2017,20.4378,20.3912,20.557,20.3788,,0.27%
20/02/2017,20.3735,20.423,20.5485,20.3652,,-0.31%
21/02/2017,20.0113,20.3735,20.495,19.9245,,-1.78%
22/02/2017,19.9073,20.008,20.1027,19.836,,-0.52%
23/02/2017,19.6667,19.9043,19.9848,19.6015,,-1.21%
24/02/2017,19.9103,19.6665,19.9189,19.6288,,1.24%
27/02/2017,19.906,19.874,19.989,19.737,,-0.02%
28/02/2017,20.1075,19.9085,20.1141,19.8555,,1.01%
01/03/2017,19.811,20.1075,20.166,19.717,,-1.47%
02/03/2017,20.002,19.808,20.032,19.777,,0.96%
03/03/2017,19.51,20.007,20.1066,19.5025,,-2.46%
06/03/2017,19.615,19.5109,19.644,19.431,,0.54%
07/03/2017,19.495,19.6208,19.66,19.427,,-0.61%
08/03/2017,19.6715,19.495,19.7042,19.44,,0.91%
09/03/2017,19.8385,19.6735,19.9047,19.6525,,0.85%
10/03/2017,19.6062,19.8397,19.8773,19.5682,,-1.17%
13/03/2017,19.6191,19.5922,19.6553,19.5363,,0.07%
14/03/2017,19.665,19.6211,19.7281,19.5695,,0.23%
15/03/2017,19.216,19.666,19.6871,19.1905,,-2.28%
16/03/2017,19.266,19.2177,19.2662,19.047,,0.26%
17/03/2017,19.0765,19.2665,19.2797,19.0635,,-0.98%
20/03/2017,19.0131,19.0814,19.1896,18.973,,-0.33%
21/03/2017,19.1019,19.0055,19.165,18.9367,,0.47%
22/03/2017,19.0255,19.096,19.2397,19.014,,-0.40%
23/03/2017,18.93,19.0227,19.1197,18.916,,-0.50%
24/03/2017,18.7575,18.9295,18.9805,18.747,,-0.91%
27/03/2017,18.8905,18.7613,18.9775,18.753,,0.71%
28/03/2017,19.0252,18.8926,19.0399,18.8112,,0.71%
29/03/2017,18.7092,19.0313,19.0385,18.685,,-1.66%
30/03/2017,18.719,18.7086,18.7722,18.6085,,0.05%
31/03/2017,18.725,18.7205,18.865,18.662,,0.03%
03/04/2017,18.664,18.7155,18.7791,18.664,,-0.33%
04/04/2017,18.822,18.677,18.9504,18.669,,0.85%
05/04/2017,18.82,18.824,18.85,18.6815,,-0.01%
06/04/2017,18.7405,18.8225,18.9027,18.713,,-0.42%
07/04/2017,18.6688,18.7455,18.8852,18.619,,-0.38%
10/04/2017,18.6787,18.652,18.7497,18.61,,0.05%
11/04/2017,18.7813,18.678,18.8222,18.672,,0.55%
12/04/2017,18.5513,18.7783,18.8112,18.5409,,-1.22%
13/04/2017,18.5885,18.5561,18.6505,18.5138,,0.20%
14/04/2017,18.5038,18.5895,18.606,18.4991,,-0.46%
17/04/2017,18.498,18.5223,18.6028,18.4903,,-0.03%
18/04/2017,18.594,18.492,18.6187,18.452,,0.52%
19/04/2017,18.849,18.591,18.902,18.578,,1.37%
20/04/2017,18.788,18.844,18.8866,18.7494,,-0.32%
21/04/2017,18.8125,18.794,18.9,18.785,,0.13%
24/04/2017,18.733,18.6145,18.738,18.4652,,-0.42%
25/04/2017,18.8555,18.7345,19.0025,18.7034,,0.65%
26/04/2017,19.183,18.8545,19.2962,18.8537,,1.74%
27/04/2017,19.0257,19.187,19.2351,18.9011,,-0.82%
28/04/2017,18.82,19.0195,19.1042,18.813,,-1.08%
01/05/2017,18.7386,18.8125,18.851,18.7205,,-0.43%
02/05/2017,18.7593,18.735,18.8483,18.6743,,0.11%
03/05/2017,18.866,18.7685,18.874,18.75,,0.57%
04/05/2017,19.053,18.8545,19.092,18.825,,0.99%
05/05/2017,18.9995,19.058,19.1342,18.958,,-0.28%
08/05/2017,19.211,18.9835,19.217,18.9119,,1.11%
09/05/2017,19.1715,19.211,19.2662,19.101,,-0.21%
10/05/2017,19.014,19.171,19.185,18.935,,-0.82%
11/05/2017,18.832,19.016,19.041,18.83,,-0.96%
12/05/2017,18.8157,18.8331,18.9072,18.7352,,-0.09%
15/05/2017,18.6995,18.769,18.8007,18.6265,,-0.62%
16/05/2017,18.6425,18.697,18.7584,18.585,,-0.30%
17/05/2017,18.7812,18.6411,18.7877,18.6029,,0.74%
18/05/2017,18.829,18.7852,19.217,18.761,,0.25%
19/05/2017,18.7052,18.829,18.8692,18.6235,,-0.66%
22/05/2017,18.6646,18.7075,18.7482,18.555,,-0.22%
23/05/2017,18.634,18.6725,18.7251,18.576,,-0.16%
24/05/2017,18.443,18.6365,18.7027,18.443,,-1.03%
25/05/2017,18.506,18.445,18.552,18.3372,,0.34%
26/05/2017,18.518,18.5085,18.5342,18.4205,,0.06%
29/05/2017,18.4772,18.5012,18.5515,18.446,,-0.22%
30/05/2017,18.7083,18.4742,18.7083,18.4635,,1.25%
31/05/2017,18.6212,18.6908,18.7726,18.606,,-0.47%
01/06/2017,18.6392,18.6212,18.6693,18.55,,0.10%
02/06/2017,18.685,18.638,18.744,18.5535,,0.25%
05/06/2017,18.343,18.7142,18.823,18.325,,-1.83%
06/06/2017,18.236,18.348,18.4405,18.212,,-0.58%
07/06/2017,18.2267,18.2383,18.293,18.1615,,-0.05%
08/06/2017,18.201,18.2237,18.259,18.159,,-0.14%
09/06/2017,18.172,18.206,18.249,18.118,,-0.16%
12/06/2017,18.1362,18.144,18.212,18.107,,-0.20%
13/06/2017,18.055,18.1353,18.1609,18.0243,,-0.45%
14/06/2017,17.9205,18.0432,18.0595,17.892,,-0.74%
15/06/2017,18.048,17.913,18.162,17.9095,,0.71%
16/06/2017,17.9115,18.0413,18.0915,17.8985,,-0.76%
19/06/2017,17.9575,17.9177,18.0077,17.9025,,0.26%
20/06/2017,18.1895,17.9597,18.2415,17.9295,,1.29%
21/06/2017,18.2342,18.1872,18.3152,18.1194,,0.25%
22/06/2017,18.1115,18.243,18.2515,18.0335,,-0.67%
23/06/2017,17.9996,18.1128,18.1602,17.936,,-0.62%
26/06/2017,17.872,18.0053,18.019,17.8115,,-0.71%
27/06/2017,17.991,17.8612,18.0715,17.8175,,0.67%
28/06/2017,17.8525,17.99,18.0796,17.8415,,-0.77%
29/06/2017,18.045,17.8455,18.135,17.799,,1.08%
30/06/2017,18.1278,18.0453,18.165,17.9645,,0.46%
03/07/2017,18.2205,18.1371,18.255,18.0855,,0.51%
04/07/2017,18.202,18.219,18.2642,18.163,,-0.10%
05/07/2017,18.3025,18.1982,18.4078,18.155,,0.55%
06/07/2017,18.2605,18.3108,18.4097,18.2215,,-0.23%
07/07/2017,18.0875,18.2669,18.3148,18.0685,,-0.95%
